epoch,accuracy,loss,val_accuracy,val_loss
0,0.38084694743156433,1.3250983953475952,0.46109509468078613,1.2768938541412354
1,0.6437863111495972,0.9772828817367554,0.6628242135047913,0.9065520763397217
2,0.7996125221252441,0.5662350654602051,0.7060518860816956,0.7802637815475464
3,0.8544146418571472,0.4073227047920227,0.6974063515663147,0.7797049283981323
4,0.8909493684768677,0.31702864170074463,0.7002881765365601,0.830594539642334
5,0.9100470542907715,0.2550996243953705,0.6945244669914246,0.8752061724662781
6,0.9316357374191284,0.21050873398780823,0.6887608170509338,0.936630368232727
7,0.9454746842384338,0.17529304325580597,0.6829971075057983,0.9643415808677673
8,0.9540547728538513,0.1522102802991867,0.6974063515663147,0.9994354844093323
9,0.9598671197891235,0.13153742253780365,0.6743515729904175,1.0911024808883667
10,0.9642956256866455,0.11513124406337738,0.6829971075057983,1.138058066368103
11,0.9648491740226746,0.10650457441806793,0.6599423885345459,1.2197625637054443
12,0.9667866230010986,0.10401372611522675,0.6772334575653076,1.2269419431686401
13,0.9725989699363708,0.09378329664468765,0.6685879230499268,1.2789435386657715
14,0.9712150692939758,0.08921980112791061,0.6628242135047913,1.3486014604568481
15,0.9706615209579468,0.08768907934427261,0.6743515729904175,1.3351408243179321
16,0.9725989699363708,0.08141415566205978,0.6743515729904175,1.361237645149231
17,0.977027416229248,0.07501083612442017,0.6628242135047913,1.386393666267395
18,0.9759202599525452,0.07292762398719788,0.6570605039596558,1.422295093536377
19,0.9761970639228821,0.0681699886918068,0.6743515729904175,1.4853689670562744
20,0.9753667116165161,0.0692201629281044,0.6628242135047913,1.52546226978302
21,0.9778577089309692,0.06414361298084259,0.6772334575653076,1.4874647855758667
22,0.9795184135437012,0.058603644371032715,0.6628242135047913,1.5608654022216797
23,0.9778577089309692,0.06208573654294014,0.6829971075057983,1.5502910614013672
24,0.975089967250824,0.05931389331817627,0.6657060384750366,1.580033779144287
